"Project"	"Event"	"Data_Source"	"Site_ID"	"Dataset_ID"	"Site_Name_Clean"	"Latitude"	"Longitude"	"Elevation"	"Continent"	"Archive_Type"	"Data_Type"	"Number_Pollen_Samples"	"AgeModel_Source"	"Number_Datings"	"minimum_meanAge"	"maximum_meanAge"	"mean_resolution_meanAge"	"range_meanAge"	"Site_Description"	"Submission_Pollendata"	"Publication_1"	"Publication_DOI_1"	"Publication_2"	"Publication_DOI_2"	"Publication_3"	"Publication_DOI_3"	"Publication_4"	"Publication_DOI_4"	"Publication_5"	"Publication_DOI_5"	"Publication_6"	"Publication_DOI_6"	"Publication_7"	"Publication_DOI_7"	"Publication_8"	"Publication_DOI_8"	"Basin_Area"	"Basin_Source"	"Basin_Comment"
"LegacyPollen_2.0"	"GNIFETTI"	"Neotoma2"	28025	51926	"Colle Gnifetti"	45.92936	7.87514	4450	"Europe"	"Ice"	"Raw"	94	"Neotoma_Brugger et al. (2021)"	17	-63	893	10.3	956	"Ice cores from the Monte Rosa massif covering the entire glacier thickness of 82 m (CG03) and 75 m (CG15). Chronology is based on annual layer counting."	"2003-01-09 00:00:00"	"Jenk, T.M., Szidat, S., Bolius, D., Sigl, M., Gaeggeler, H.W., Wacker, L., Ruff, M., Barbante, C., Boutron, C.F. and Schwikowski, M., 2009. A novel radiocarbon dating technique applied to an ice core from the Alps indicating late Pleistocene ages. Journal of Geophysical Research: Atmospheres, 114(D14)."	"https://doi.org/10.1029/2009JD011860"	"Brugger, S.O., Schwikowski, M., Gobet, E., Schwörer, C., Rohr, C., Sigl, M., Henne, S., Pfister, C., Jenk, T.M., Henne, P.D. and Tinner, W., 2021. Alpine glacier reveals ecosystem impacts of Europe's prosperity and peril over the last millennium. Geophysical Research Letters, 48(20), p.e2021GL095039."	"https://doi.org/10.1029/2021GL095039"	"Sigl, M., Abram, N.J., Gabrieli, J., Jenk, T.M., Osmont, D. and Schwikowski, M., 2018. 19th century glacier retreat in the Alps preceded the emergence of industrial black carbon deposition on high-alpine glaciers. The Cryosphere, 12(10), pp.3311-3331."	"https://doi.org/10.5194/tc-12-3311-2018"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ice core"
"LegacyPollen_2.0"	"MOER"	"Neotoma2"	28053	52046	"Moershoofd"	51.24716	3.51839	2	"Europe"	"Alluvial/Fluvial"	"Raw"	6	"AWI"	3	23688	47367	4735.8	23679	"Core with Eemian sediments, including the Eemian interglacial, Early Weichselian stadial I, Amersfoort interstadial and the Weichselian-Pleniglacial. It is situated in area of former \Valley of Genth\, filled by river deposits and aeolian sand in late Pleistocenetimes. Weichselian Pleniglacial beds reach from surface down to 6.50 m and consist of aeolian sand (coversand) with two intercalated horizons of peat and gyttja, indicating phases of temporary decrease of periglacial aeolian action. Latter occur at 2.15 to 2.38 m and 3.10 to 4.70 m respectively."	"1958-01-01 00:00:00"	"Zagwijn, W.H. 1961. Vegetation, climate and radiocarbon datings in the late Pleistocene of The Netherlands- part I: Eemian and the Early Weichselian. Mededelingen Rijks Geologische Dienst Nieuwe serie 14:15-45."	NA	"Vogel, J.C. and Zagwijn, W.H., 1967. Groningen radiocarbon dates VI. Radiocarbon, 9(1), pp.63-106."	"https://doi.org/10.1017/S0033822200000485"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_2.0"	"ZEGBR"	"Neotoma2"	28056	52050	"Zegbroekpolder"	52.06264	4.21739	2	"Europe"	"Coast"	"Raw"	16	"AWI"	4	444	3630	212.4	3186	"This location is a part of the plain between the bearchwalls of The Hague and Scheveningen, just south-west of the current sportspark Kijkduin."	"1955-01-01 00:00:00"	"Jong, J.D. and Zagwijn, W.H., 1983. De vegetatiegeschiedenis van's-Gravenhage en omgeving.(The development of the vegetation of the Hague and surroundings, The Netherlands). Mededelingen van de Rijks geologische Dienst Haarlem, 37(1), pp.44-62."	NA	"Boerboom, J.H.A. and Zagwijn, W.H., 1966. Pollen‐analytical investigations in the coastal dune area near The Hague, The Netherlands. Acta Botanica Neerlandica, 15(2), pp.376-388."	"https://doi.org/10.1111/j.1438-8677.1966.tb00237.x"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_2.0"	"TELAKKO"	"Neotoma2"	28063	52062	"Akko"	32.9	35.08333	3	"Europe"	"Coast"	"Raw"	70	"AWI"	6	266	5962	82.6	5696	"Coastal site. Physiography: Haifa Bay. Surrounding vegetation: shrub-steppe and cultivated fields."	"2011-01-01 00:00:00"	"Kaniewski, D., Van Campo, E., Morhange, C., Guiot, J., Zviely, D., Shaked, I., Otto, T. and Artzy, M., 2013. Early urban impact on Mediterranean coastal environments. Scientific Reports, 3(1), pp.1-5."	"https://doi.org/10.1038/srep03540"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_2.0"	"CYPRUS13"	"Neotoma2"	28064	52064	"Larnaca Salt Lake"	34.88083	33.61194	6	"Europe"	"Lagoon"	"Raw"	54	"AWI"	3	529	3579	57.5	3050	"Salt lake. Physiography: coastal lagoon in wetland. Surrounding vegetation: dry landscape and agriculture."	NA	"Kaniewski, D., Van Campo, E., Guiot, J., Le Burel, S., Otto, T. and Baeteman, C., 2013. Environmental roots of the Late Bronze Age crisis. PloS one, 8(8), p.e71004."	"https://doi.org/10.1371/journal.pone.0071004"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65694.81	"Google Earth"	"near the sea"
"LegacyPollen_2.0"	"DOR"	"Neotoma2"	28065	52066	"Dor"	32.6175	34.91639	6	"Europe"	"Coast"	"Raw"	12	"AWI"	8	7079	10372	299.4	3293	"Coastal ridge. Physiography: Carmel coastal plain. Surrounding vegetation: Quercus, Pinus, urban area."	NA	"Kadosh, D., Sivan, D., Kutiel, H. and Weinstein‐Evron, M., 2004. A late quaternary paleoenvironmental sequence from Dor, Carmel coastal plain, Israel. Palynology, 28(1), pp.143-157."	"https://doi.org/10.1080/01916122.2004.9989595"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_2.0"	"TELDAN"	"Neotoma2"	28066	52068	"Tel Dan"	33.25	35.65361	209	"Europe"	"Archaeological"	"Raw"	83	"AWI"	10	1792	4153	28.8	2361	"Spring in marsh area. Physiography: Dan stream in Hula valley. Surrounding vegetation: agriculture."	"2014-01-01 00:00:00"	"Kaniewski, D., Marriner, N., Ilan, D., Morhange, C., Thareani, Y. and Van Campo, E., 2017. Climate change and water management in the biblical city of Dan. Science advances, 3(11), p.e1700954."	"https://doi.org/10.1126/sciadv.1700954"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_2.0"	"TLEILAN"	"Neotoma2"	28067	52070	"Tell Leilan"	36.86417	41.2375	374	"Europe"	"Archaeological"	"Raw"	39	"Neotoma_Cal yr BP"	6	1	1530	40.2	1529	"Dry river. Physiography: Khabur plain. Surrounding vegetation: cultivated fields."	"2010-01-01 00:00:00"	"Kaniewski, D., Van Campo, E. and Weiss, H., 2012. Drought is a recurring challenge in the Middle East. Proceedings of the National Academy of Sciences, 109(10), pp.3862-3867."	"https://doi.org/10.1073/pnas.1116304109"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_2.0"	"MIRNA4"	"Neotoma2"	28068	52072	"Mirna River"	45.33639	13.65833	1	"Europe"	"Peat"	"Raw"	64	"AWI"	7	0	4339	68.9	4339	"Wetland on river (coastal Croatia). Physiography: delta of Mirna River. Surrounding vegetation: agriculture and forests."	NA	"Zomer, R.J., Neufeldt, H., Xu, J., Ahrends, A., Bossio, D., Trabucco, A., Van Noordwijk, M. and Wang, M., 2016. Global Tree Cover and Biomass Carbon on Agricultural Land: The contribution of agroforestry to global and national carbon budgets. Scientific reports, 6(1), pp.1-12."	"https://doi.org/10.1038/srep25197"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_2.0"	"CREIXELL"	"Neotoma2"	28069	52074	"Creixell"	41.15556	1.43389	1	"Europe"	"Peat"	"Raw"	32	"AWI"	3	232	6490	201.9	6258	"Littoral marsh. Surrounding vegetation: Pinus halepensis, Quercus ilex, Myrtus communis, Chamaeops humilis, Nerium oleander."	NA	"Burjachs, F. and Expósito, I., 2015. Charcoal and pollen analysis: Examples of Holocene fire dynamics in Mediterranean Iberian Peninsula. Catena, 135, pp.340-349."	"https://doi.org/10.1016/j.catena.2014.10.006"	"Burjachs, F. and Schulte, L., 2003. El paisatge vegetal del Penedès entre la Prehistoria i el Món Antic. In Territoris antics a la Mediterrània ia la Cossetània oriental (actes del Simposi Internacional d'Arqueologia del Baix Penedès) (pp. 249-254)."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_2.0"	"BEREKE12"	"Neotoma2"	28070	52076	"Bereket"	37.54222	30.295	1410	"Europe"	"Peat"	"Raw"	206	"Neotoma_cal yr BP"	10	5	3260	15.9	3255	"Marsh. Physiography: basin in valley floor. Surrounding vegetation: cultivated fields and Juniperus woodland."	"2009-01-01 00:00:00"	"Bakker, J. 2012. Late Holocene vegetation dynamics in a mountainous environment in the Terrirory of Sagalassos Turkey (Late Roman till present). Doctoral dissertation. Katholieke Universiteit Leuven, Leuven, Belgium. Notes: 254 p."	NA	"Bakker, J., Paulissen, E., Kaniewski, D., Poblome, J., De Laet, V., Verstraeten, G. and Waelkens, M., 2013. Climate, people, fire and vegetation: new insights into vegetation dynamics in the Eastern Mediterranean since the 1st century AD. Climate of the Past, 9(1), pp.57-87."	"https://doi.org/10.5194/cp-9-57-2013"	"Kaniewski, D., Paulissen, E., De Laet, V. and Waelkens, M., 2008. Late Holocene fire impact and post-fire regeneration from the Bereket basin, Taurus Mountains, southwest Turkey. Quaternary Research, 70(2), pp.228-239."	"https://doi.org/10.1016/j.yqres.2008.04.002"	"Kaniewski, D., Paulissen, E., De Laet, V., Dossche, K. and Waelkens, M., 2007. A high-resolution Late Holocene landscape ecological history inferred from an intramontane basin in the Western Taurus Mountains, Turkey. Quaternary Science Reviews, 26(17-18), pp.2201-2218."	"https://doi.org/10.1016/j.quascirev.2007.04.015"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FIXED_100"	NA
"LegacyPollen_2.0"	"TWEINI1"	"Neotoma2"	28071	52078	"Tell Tweini"	35.37083	35.93722	19	"Europe"	"Alluvial/Fluvial"	"Raw"	80	"Neotoma_cal yr BP"	3	2456	4119	21.1	1663	"Floodplain of a spring-fed valley. Physiography: Basin in valley of River Rumailiah. Surrounding vegetation: agriculture and xeric steppe."	"2004-01-01 00:00:00"	"Kaniewski, D., Paulissen, E., Van Campo, E., Al-Maqdissi, M., Bretschneider, J. and Van Lerberghe, K., 2008. Middle East coastal ecosystem response to middle-to-late Holocene abrupt climate changes. Proceedings of the National Academy of Sciences, 105(37), pp.13941-13946."	"https://doi.org/10.1073/pnas.0803533105"	"Kaniewski, D., Van Campo, E., Paulissen, E., Weiss, H., Bakker, J., Rossignol, I. and Van Lerberghe, K., 2011. The medieval climate anomaly and the little Ice Age in coastal Syria inferred from pollen-derived palaeoclimatic patterns. Global and Planetary Change, 78(3-4), pp.178-187."	"https://doi.org/10.1016/j.gloplacha.2011.06.010"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_2.0"	"TWEINI2"	"Neotoma2"	28071	52080	"Tell Tweini"	35.37083	35.93722	19	"Europe"	"Alluvial/Fluvial"	"Raw"	58	"Neotoma_cal yr BP"	4	6.9	1093.7	19.1	1086.8	"Floodplain of a spring-fed valley. Physiography: Basin in valley of River Rumailiah. Surrounding vegetation: agriculture and xeric steppe."	"2008-01-01 00:00:00"	"Kaniewski, D., Van Campo, E., Paulissen, E., Weiss, H., Bakker, J., Rossignol, I. and Van Lerberghe, K., 2011. The medieval climate anomaly and the little Ice Age in coastal Syria inferred from pollen-derived palaeoclimatic patterns. Global and Planetary Change, 78(3-4), pp.178-187."	"https://doi.org/10.1016/j.gloplacha.2011.06.010"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_2.0"	"LAIH"	"Neotoma2"	28072	52082	"Laihalampi"	61.48833	26.08083	137	"Europe"	"Lake"	"Raw"	150	"AWI"	6	79	10992	73.2	10913	"Small shallow lake. Physiography: basin. Surrounding vegetation: Pinus sylvestris &amp; Picea abies."	"1999-01-12 00:00:00"	"Heikkilä, M. and Seppä, H., 2003. A 11,000 yr palaeotemperature reconstruction from the southern boreal zone in Finland. Quaternary Science Reviews, 22(5-7), pp.541-554."	"https://doi.org/10.1016/S0277-3791(02)00189-0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	203204.6	"Google Earth"	NA
"LegacyPollen_2.0"	"ESTANY"	"Neotoma2"	28073	52084	"Pla de l Estany"	42.18833	2.52972	520	"Europe"	"Alluvial/Fluvial"	"Raw"	48	"AWI"	5	-4	3792	80.8	3796	"Ancient lacustrine basin. Physiography: depression. Surrounding vegetation: deciduous and evergreen oak forests and cultivation. Volcanic field."	"1981-01-05 00:00:00"	"Burjachs, F., 1994. Palynology of the upper Pleistocene and Holocene of the North‐East Iberian Peninsula: pla de l'Estany (Catalonia). Historical Biology, 9(1-2), pp.17-33."	"https://doi.org/10.1080/10292389409380485"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80638.57	"Google Earth"	"dried up"
"LegacyPollen_2.0"	"SB2"	"Neotoma2"	14456	52086	"Lake Banyoles"	42.12908	2.75184	174	"Europe"	"Lake"	"Raw"	97	"AWI"	6	3196	8926	59.7	5730	"Karstic lake fed by groundwater. Physiography: subcircular depression with channel. Surrounding vegetation: Mixed evergreen forests (Quercus ilex, Q. coccifera, Rhamnus alaternus, Phillyrea media, P. angustifolia), deciduous oak stands (Quercus pubescens, Buxus sempervirens, Ilex aquifolium) and Pinus halepensis woodlands. Shrublands."	"2009-01-01 00:00:00"	"Revelles, J., Cho, S., Iriarte, E., Burjachs, F., Van Geel, B., Palomo, A., Piqué, R., Peña-Chocarro, L. and Terradas, X., 2015. Mid-Holocene vegetation history and Neolithic land-use in the Lake Banyoles area (Girona, Spain). Palaeogeography, Palaeoclimatology, Palaeoecology, 435, pp.70-85."	"https://doi.org/10.1016/j.palaeo.2015.06.002"	"Revelles, J., Antolín, F., Berihuete, M., Burjachs, F., Buxó, R., Caruso, L., López, O., Palomo, A., Piqué, R. and Terradas, X., 2014. Landscape transformation and economic practices among the first farming societies in Lake Banyoles (Girona, Spain). Environmental archaeology, 19(3), pp.298-310."	"https://doi.org/10.1179/1749631414Y.0000000033"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1114838	"Google Earth"	"200063"
"LegacyPollen_2.0"	"TOSK"	"Neotoma2"	28074	52088	"Toskaljarvi"	69.2	21.46667	704	"Europe"	"Lake"	"Raw"	161	"AWI"	8	-35	9178	57.6	9213	"Lake. Physiography: wide valley. Surrounding vegetation: Betula, Vaccinum, Empetrum & Sedge."	"1999-01-04 00:00:00"	"Seppä, H. and Birks, H.J.B., 2002. Holocene climate reconstructions from the Fennoscandian tree-line area based on pollen data from Toskaljavri. Quaternary Research, 57(2), pp.191-199."	"https://doi.org/10.1006/qres.2001.2313"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	989836.7	"Google Earth"	NA
"LegacyPollen_2.0"	"A294"	"Neotoma2"	28075	52090	"Armena"	42.51444	0.33611	2238	"Europe"	"Cave"	"Raw"	42	"AWI"	27	2249	5664	83.3	3415	"Cave in the slope of Cotiella Peak. Physiography: glacial cirque. Surrounding vegetation: alpine herb and dwarf shrubs."	"2015-01-07 00:00:00"	"Leunda, M., González‐Sampériz, P., Gil‐Romera, G., Bartolomé, M., Belmonte‐Ribas, Á., Gómez‐García, D., Kaltenrieder, P., Rubiales, J.M., Schwörer, C., Tinner, W. and Morales‐Molino, C., 2019. Ice cave reveals environmental forcing of long‐term Pyrenean tree line dynamics. Journal of Ecology, 107(2), pp.814-828."	"https://doi.org/10.1111/1365-2745.13077"	"Sancho, C., Belmonte, Á., Bartolomé, M., Moreno, A., Leunda, M. and López-Martínez, J., 2018. Middle-to-late Holocene palaeoenvironmental reconstruction from the A294 ice-cave record (Central Pyrenees, northern Spain). Earth and Planetary Science Letters, 484, pp.135-144."	"https://doi.org/10.1016/j.epsl.2017.12.027"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LegacyPollen_2.0"	"MARBORE"	"Neotoma2"	28076	52092	"Marbore Lake"	42.69556	0.04	2612	"Europe"	"Lake"	"Raw"	90	"AWI"	19	-34.2	14319.9	161.3	14354.1	"Alpine glacial lake. Physiography: cirque in Tucarroya Peak. Surrounding vegetation: Silene, Linaria, Crepis, Campanula."	"2011-01-08 00:00:00"	"Leunda, M., González-Sampériz, P., Gil-Romera, G., Aranbarri, J., Moreno, A., Oliva-Urcia, B., Sevilla-Callejo, M. and Valero-Garcés, B., 2017. The Late-Glacial and Holocene Marboré Lake sequence (2612 m asl, Central Pyrenees, Spain): Testing high altitude sites sensitivity to millennial scale vegetation and climate variability. Global and Planetary Change, 157, pp.214-231."	"https://doi.org/10.1016/j.gloplacha.2017.08.008"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86512.81	"Google Earth"	NA
