/* DATA DESCRIPTION:
Citation:	Sirocko, Frank; Knapp, Hannes; Dreher, Frank; Förster, Michael W; Albert, Johannes; Brunck, Heiko; Veres, Daniel; Dietrich, Stephan; Zech, Michael; Hambach, Ulrich; Röhner, Marieke; Rudert, Saskia; Schwiebus, Klaus; Adams, Christel; Sigl, Petra (2016): Dust record of sediment core DE3. PANGAEA, https://doi.org/10.1594/PANGAEA.868664, 
	In supplement to: Sirocko, F et al. (2016): The ELSA-Vegetation-Stack: Reconstruction of Landscape Evolution Zones (LEZ) from laminated Eifel maar sediments of the last 60,000years. Global and Planetary Change, 142, 108-135, https://doi.org/10.1016/j.gloplacha.2016.03.005
Related to:	Brunck, Heiko; Sirocko, Frank; Albert, Johannes (2016): The ELSA-Flood-Stack: A reconstruction from the laminated sediments of Eifel maar structures during the last 60000 years. Global and Planetary Change, 142, 136-146, https://doi.org/10.1016/j.gloplacha.2015.12.003
	Förster, Michael W; Sirocko, Frank (2016): The ELSA tephra stack: Volcanic activity in the Eifel during the last 500,000 years. Global and Planetary Change, 142, 100-107, https://doi.org/10.1016/j.gloplacha.2015.07.012
	Sirocko, Frank (2016): The ELSA - Stacks (Eifel-Laminated-Sediment-Archive): An introduction. Global and Planetary Change, 142, 96-99, https://doi.org/10.1016/j.gloplacha.2016.03.011
Other version:	The ELSA Stacks - Online Resouce University of Mainz, Germany (URI: https://elsa-project.de/)
Coverage:	LATITUDE: 50.294400 * LONGITUDE: 6.506990
	MINIMUM ELEVATION: 565.0 m * MAXIMUM ELEVATION: 565.0 m
Event(s):	ELSA_DE3 (DE3) * LATITUDE: 50.294400 * LONGITUDE: 6.506990 * ELEVATION: 565.0 m * Recovery: 87 m * LOCATION: Dehner Maar, Eifel, Germany * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: Gauß-Krüger coordinate system: 2536122/5573145
Comment:	ELSA dust core DE3 based on stratigraphy of Sirocko et al. (2016).
Parameter(s):	Age [ka b2k] (Age) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
	Dust radius [km] (Dust radius) * PI: Sirocko, Frank (sirocko@uni-mainz.de)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	15908 data points
*/
Age [ka b2k]	Dust radius [km]
12.878	9
12.879	13
12.880	12
12.882	4
12.883	11
12.884	11
12.886	15
12.887	14
12.888	15
12.889	14
12.891	14
12.892	15
12.893	15
12.895	16
12.896	16
12.897	14
12.899	13
12.900	11
12.902	9
12.904	12
12.906	10
12.908	14
12.911	8
12.913	14
12.915	14
12.917	11
12.919	11
12.921	14
12.924	13
12.926	11
12.928	8
12.930	12
12.932	4
12.934	9
12.937	13
12.939	14
12.941	13
12.943	14
12.945	15
12.947	13
12.950	12
12.952	11
12.954	12
12.956	12
12.958	14
12.960	9
12.963	12
12.965	10
12.967	15
12.969	10
12.971	14
12.973	11
12.976	10
12.978	13
12.980	9
12.982	11
12.984	12
12.986	14
12.989	12
12.991	13
12.993	11
12.995	13
12.997	4
12.999	12
13.002	14
13.004	9
13.006	13
13.008	9
13.010	14
13.012	15
13.015	10
13.017	13
13.019	11
13.021	13
13.023	9
13.025	13
13.028	8
13.030	11
13.032	14
13.034	13
13.036	12
13.038	10
13.040	11
13.043	13
13.045	13
13.047	14
13.049	11
13.051	15
13.053	12
13.056	12
13.058	12
13.060	11
13.062	13
13.064	15
13.066	14
13.069	14
13.071	13
13.073	13
13.075	13
13.077	13
13.079	10
13.082	0
13.084	8
13.086	7
13.088	11
13.090	13
13.092	8
13.095	14
13.097	10
13.099	11
13.101	13
13.103	14
13.105	9
13.108	9
13.110	12
13.112	14
13.114	15
13.116	14
13.118	15
13.121	14
13.123	14
13.125	12
13.127	14
13.129	13
13.131	9
13.134	13
13.136	11
13.138	11
13.140	11
13.142	12
13.144	14
13.147	12
13.149	9
13.151	11
13.153	13
13.155	14
13.157	14
13.160	10
13.162	12
13.164	11
13.166	14
13.168	13
13.170	13
13.173	13
13.175	11
13.177	12
13.179	14
13.181	14
13.183	7
13.186	13
13.188	10
13.190	6
13.192	12
13.194	14
13.196	11
13.199	14
13.201	12
13.203	13
13.205	12
13.207	14
13.209	12
13.212	14
13.214	12
13.216	13
13.218	11
13.220	5
13.222	12
13.225	10
13.227	14
13.229	15
13.231	13
13.233	10
13.235	10
13.237	14
13.240	9
13.242	13
13.244	6
13.246	14
13.248	11
13.250	13
13.253	13
13.255	13
13.257	12
13.259	12
13.261	5
13.263	12
13.266	11
13.268	12
13.270	11
13.272	11
13.274	12
13.276	14
13.279	12
13.281	13
13.283	11
13.285	12
13.287	9
13.289	12
13.292	10
13.294	13
13.296	13
13.298	13
13.300	14
13.302	13
13.305	5
13.307	13
13.309	13
13.311	10
13.313	13
13.315	13
13.318	13
13.320	13
13.322	8
13.324	13
13.326	13
13.328	14
13.331	13
13.333	11
13.335	13
13.337	12
13.339	13
13.341	12
13.344	13
13.346	12
13.348	12
13.350	10
13.352	11
13.354	9
13.357	11
13.359	13
13.361	14
13.363	10
13.365	12
13.367	13
13.370	14
13.372	13
13.374	10
13.376	13
13.378	14
13.380	12
13.383	9
13.385	5
13.387	11
13.389	13
13.391	12
13.393	11
13.396	10
13.398	9
13.400	11
13.402	13
13.404	10
13.406	10
13.409	2
13.411	7
13.413	12
13.415	12
13.417	12
13.419	11
13.421	10
13.424	10
13.426	13
13.428	15
13.430	13
13.432	9
13.434	10
13.437	10
13.439	14
13.441	14
13.443	14
13.445	10
13.447	11
13.450	10
13.452	11
13.454	13
13.456	11
13.458	10
13.460	13
13.463	14
13.465	11
13.467	8
13.469	13
13.471	6
13.473	12
13.476	12
13.478	13
13.480	10
13.482	11
13.484	12
13.486	12
13.489	14
13.491	14
13.493	12
13.495	14
13.497	13
13.499	12
13.502	12
13.504	12
13.506	12
13.508	9
13.510	11
13.512	12
13.515	15
13.517	13
13.519	11
13.521	12
13.523	11
13.525	8
13.528	11
13.530	9
13.532	10
13.534	9
13.536	13
13.538	10
13.541	14
13.543	14
13.545	14
13.547	14
13.549	12
13.551	12
13.554	12
13.556	15
13.558	13
13.560	12
13.562	14
13.564	14
13.567	13
13.569	14
13.571	4
13.573	12
13.575	14
13.577	13
13.580	13
13.582	13
13.584	13
13.586	13
13.588	12
13.590	12
13.593	12
13.595	12
13.597	0
13.599	4
13.601	13
13.603	13
13.606	12
13.608	11
13.610	9
13.612	12
13.614	13
13.616	14
13.618	14
13.621	10
13.623	13
13.625	12
13.627	13
13.629	10
13.631	14
13.634	14
13.636	13
13.638	13
13.640	14
13.642	13
13.644	13
13.647	11
13.649	13
13.651	4
13.653	10
13.655	11
13.657	11
13.660	12
13.662	13
13.664	14
13.666	14
13.668	14
13.670	13
13.673	12
13.675	12
13.677	13
13.679	10
13.681	14
13.683	11
13.686	9
13.688	12
13.690	12
13.692	13
13.694	10
13.696	10
13.699	11
13.701	10
13.703	13
13.705	14
13.707	13
13.709	4
13.712	10
13.714	13
13.716	12
13.718	13
13.720	13
13.722	12
13.725	11
13.727	12
13.729	10
13.731	13
13.733	5
13.735	10
13.738	12
13.740	11
13.742	11
13.744	11
13.746	11
13.748	11
13.751	10
13.753	13
13.755	2
13.757	13
13.759	12
13.761	13
13.764	11
13.766	9
13.768	13
13.770	9
13.772	10
13.774	13
13.777	11
13.779	13
13.781	12
13.783	9
13.785	10
13.787	3
13.790	9
13.792	8
13.794	10
13.796	10
13.798	15
13.800	7
13.803	12
13.805	13
13.807	12
13.809	12
13.811	12
13.813	13
13.815	13
13.818	12
13.820	11
13.822	13
13.824	11
13.826	9
13.828	13
13.831	14
13.833	11
13.835	14
13.837	14
13.839	12
13.841	11
13.844	14
13.846	13
13.848	8
13.850	13
13.852	13
13.854	14
13.857	11
13.859	8
13.861	12
13.863	12
13.865	12
13.867	12
13.870	12
13.872	13
13.874	10
13.876	12
13.878	13
13.880	12
13.883	7
13.885	13
13.887	15
13.889	4
13.891	12
13.893	13
13.896	12
13.898	12
13.900	12
13.902	13
13.904	13
13.906	13
13.909	11
13.911	11
13.913	13
13.915	13
13.917	13
13.919	11
13.922	10
13.924	13
13.926	11
13.928	13
13.930	12
13.932	10
13.935	12
13.937	4
13.939	12
13.941	11
13.943	10
13.945	12
13.948	5
13.950	15
13.952	10
13.954	11
13.956	4
13.958	11
13.961	13
13.963	11
13.965	10
13.967	15
13.969	15
13.971	13
13.974	7
13.976	12
13.978	11
13.980	12
13.982	7
13.984	14
13.987	7
13.989	7
13.991	7
13.993	10
13.995	11
13.997	13
13.999	15
14.002	12
14.004	12
14.006	12
14.008	11
14.010	9
14.012	14
14.015	12
14.017	12
14.019	15
14.021	15
14.023	10
14.025	14
14.028	13
14.030	14
14.032	12
14.034	13
14.036	9
14.038	11
14.041	6
14.043	10
14.045	11
14.047	12
14.049	14
14.051	13
14.054	15
14.056	10
14.058	12
14.060	13
14.062	9
14.064	13
14.067	14
14.069	10
14.071	13
14.073	12
14.075	13
14.077	13
14.080	13
14.082	11
14.084	15
14.086	13
14.088	14
14.090	7
14.093	10
14.095	12
14.097	0
14.099	4
14.101	8
14.103	15
14.106	14
14.108	14
14.110	13
14.112	13
14.114	12
14.116	15
14.119	15
14.121	14
14.123	11
14.125	10
14.127	9
14.129	12
14.132	0
14.134	8
14.136	14
14.138	11
14.140	11
14.142	10
14.145	12
14.147	13
14.149	14
14.151	11
14.153	3
14.155	10
14.158	14
14.160	11
14.162	12
14.164	13
14.166	13
14.168	13
14.171	10
14.173	10
14.175	14
14.177	10
14.179	12
14.181	14
14.184	14
14.186	14
14.188	11
14.190	10
14.192	12
14.194	10
14.196	13
14.199	14
14.201	13
14.203	11
14.205	13
14.207	11
14.209	13
14.212	10
14.214	6
14.216	11
14.218	10
14.220	12
14.222	12
14.225	11
14.227	12
14.229	12
14.231	12
14.233	12
14.235	12
14.238	15
14.240	12
14.242	13
14.244	15
14.246	11
14.248	13
14.251	14
14.253	13
14.255	11
14.257	13
14.259	3
14.261	14
14.264	12
14.266	13
14.268	11
14.270	14
14.272	14
14.274	13
14.277	11
14.279	12
14.281	15
14.283	10
14.285	12
14.287	14
14.290	14
14.292	15
14.294	14
14.296	14
14.298	9
14.300	10
14.303	13
14.305	14
14.307	11
14.309	10
14.311	9
14.313	13
14.316	11
14.318	14
14.320	12
14.322	12
14.324	10
14.326	14
14.329	13
14.331	12
14.333	15
14.335	8
14.337	10
14.339	11
14.342	10
14.344	13
14.346	14
14.348	12
14.350	12
14.352	13
14.355	13
14.357	12
14.359	14
14.361	15
14.363	14
14.365	11
14.368	8
14.370	14
14.372	11
14.374	13
14.376	13
14.378	9
14.380	13
14.383	13
14.385	11
14.387	9
14.389	12
14.391	13
14.393	11
14.396	12
14.398	14
14.400	11
14.402	10
14.404	14
14.406	13
14.409	14
14.411	12
14.413	9
14.415	15
14.417	12
14.419	13
14.422	14
14.424	14
14.426	13
14.428	13
14.430	14
14.432	13
14.435	15
14.437	12
14.439	15
14.441	15
14.443	13
14.445	14
14.448	13
14.450	12
14.452	9
14.454	9
14.456	13
14.458	9
14.461	13
14.463	8
14.465	14
14.467	11
14.469	13
14.471	12
14.474	11
14.476	15
14.478	12
14.480	12
14.482	12
14.484	13
14.487	15
14.489	7
14.491	14
14.493	10
14.495	12
14.497	2
14.500	12
14.502	12
14.504	12
14.506	14
14.508	13
14.510	11
14.513	14
14.515	13
14.517	8
14.519	11
14.521	10
14.523	12
14.526	13
14.528	14
14.530	14
14.532	13
14.534	7
14.536	10
14.539	14
14.541	13
14.543	9
14.545	13
14.547	13
14.549	14
14.552	15
14.554	12
14.556	9
14.558	10
14.560	10
14.562	12
14.565	9
14.567	13
14.569	9
14.571	13
14.573	12
14.575	14
14.577	9
14.580	14
14.582	11
14.584	10
14.586	12
14.588	15
14.590	14
14.593	12
14.595	11
14.597	13
14.599	15
14.601	10
14.603	11
14.606	11
14.608	15
14.610	13
14.612	14
14.614	14
14.616	14
14.619	15
14.621	15
14.623	11
14.625	10
14.627	13
14.629	11
14.632	13
14.634	12
14.636	14
14.638	11
14.640	11
14.642	12
14.645	13
14.647	11
14.649	12
14.651	12
14.653	7
14.655	13
14.658	10
14.660	14
14.662	13
14.664	14
14.666	15
14.668	11
14.671	9
14.673	12
14.675	13
14.677	10
14.679	13
14.681	13
14.684	14
14.686	10
