/* DATA DESCRIPTION:
Citation:	Kern, Oliver A (2021): Percentages of pollen data from late MIS 6 to MIS 1 from Füramoos, Southern Germany. PANGAEA, https://doi.org/10.1594/PANGAEA.934305
Abstract:	High-resolution palynological data (taxa and groups) from the Füramoos peat bog. The data span from the latest Rissian glaciation (MIS 6) to the present (MIS 1) at an average temporal resolution of ~230 years and are given as percentages and a depth and age scale. The data highlight the presence of several forest expansions and contractions associated with Greenland Interstadials / Dansgaard-Oeschger Events during MIS 3 and 4. Interglacials (MIS 1 and 5e) are characterized by the establishment of a dense temperate forest and the Early Glacial (MIS 5d-5a) is marked by a persistent boreal forest.
	Pollen data from the Late Glacial and Holocene (14.5 - 0 ka BP) has been incorporated from Kern et al. (2021).
Keyword(s):	Central Europe; Dansgaard-Oeschger events; Füramoos; Greenland interstadials; MIS 1-6; palynology; Pollen
Supplement to:	Kern, Oliver A; Koutsodendris, Andreas; Allstädt, Frederik J; Mächtle, Bertil; Peteet, Dorothy M; Kalaitzidis, Stavros; Christanis, Kimon; Pross, Jörg (2022): A near-continuous record of climate and ecosystem variability in Central Europe during the past 130 kyrs (Marine Isotope Stages 5–1) from Füramoos, southern Germany. Quaternary Science Reviews, 284, 107505, https://doi.org/10.1016/j.quascirev.2022.107505
Related to:	Kern, Oliver A; Koutsodendris, Andreas; Süfke, Finn; Gutjahr, Marcus; Mächtle, Bertil; Pross, Jörg (2021): Persistent, multi-sourced lead contamination in Central Europe since the Bronze Age recorded in the Füramoos peat bog, Germany. Anthropocene, 36, 100310, https://doi.org/10.1016/j.ancene.2021.100310
Coverage:	LATITUDE: 47.990556 * LONGITUDE: 9.886944
	MINIMUM DEPTH, sediment/rock: 0.02 m * MAXIMUM DEPTH, sediment/rock: 7.84 m
Event(s):	FU-2001 (Füramoos) * LATITUDE: 47.990556 * LONGITUDE: 9.886944 * ELEVATION: 660.0 m * LOCATION: Füramoos, Germany * METHOD/DEVICE: Core drilling (CDRILL)
	FU-2017 (Füramoos) * LATITUDE: 47.990556 * LONGITUDE: 9.886944 * LOCATION: Füramoos, Germany * METHOD/DEVICE: Peat corer (PEATC)
Parameter(s):	Event label (Event) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Core (Core) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Section (Sect) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de) * COMMENT: segment
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Depth, composite [mcd] (Depth comp) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	AGE [ka BP] (Age) * GEOCODE * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Arboreal pollen [%] (AP) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Non arboreal pollen [%] (NAP) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Pollen, temperate [%] (Pollen te) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Pollen, boreal [%] (Pollen bo) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Pollen, pioneer [%] (Pollen pioneer) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Pollen, steppe [%] (Pollen steppe) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Grasses [%] (Grasses) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Lycopodium [%] (Lyc) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Abies [%] (Abies) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Acer [%] (Ace) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Alnus [%] (Alnus) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Apiaceae [%] (Apiaceae) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Armeria [%] (Arm) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Artemisia [%] (Artemisia) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Asteraceae [%] (Asterac) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de) * COMMENT: indif.
	Betula [%] (Betula) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Botryococcus [%] (Bot) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Brassicaceae [%] (Brassicac) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Buxus [%] (Buxus) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Callidina angusticollis [%] (C. angusticollis) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Campanulaceae [%] (Campanulaceae) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Carpinus [%] (Car) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Caryophyllaceae [%] (Cphae) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Castanea [%] (Castanea) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Centaurea [%] (Centaurea) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Cerealia [%] (Cerealia) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Cerinthe [%] (Cerinthe) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Chenopodiaceae [%] (Chenopod) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Clinopodium vulgare [%] (C. vulgare) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Corylus [%] (Corylus) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Crepis-type [%] (Cre-T) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Cyperaceae [%] (Cyperac) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Drosera [%] (Drosera) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Entophlyctis lobata [%] (E. lobata) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Ephedra distachya-type [%] (E. distachya-T) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Ephedra fragilis-type [%] (Eph.f-T) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
	Ericaceae [%] (Ericac) * PI: Kern, Oliver A (https://orcid.org/0000-0002-9959-3509, oliver.kern@geow.uni-heidelberg.de)
